,time,open,close,high,low
0,2024-12-23T12:39:00Z,1.03777,1.0376,1.03786,1.03756
1,2024-12-23T12:40:00Z,1.03757,1.03729,1.0377,1.0372
2,2024-12-23T12:41:00Z,1.03729,1.0373,1.03735,1.03715
3,2024-12-23T12:42:00Z,1.0373,1.03762,1.03768,1.0373
4,2024-12-23T12:43:00Z,1.03762,1.0377,1.03801,1.03761
5,2024-12-23T12:44:00Z,1.0377,1.03754,1.0377,1.03746
6,2024-12-23T12:45:00Z,1.03753,1.03754,1.03759,1.03736
7,2024-12-23T12:46:00Z,1.03753,1.03719,1.03761,1.03719
8,2024-12-23T12:47:00Z,1.03717,1.03712,1.03724,1.03701
9,2024-12-23T12:48:00Z,1.03712,1.03736,1.03743,1.03712
10,2024-12-23T12:49:00Z,1.03736,1.03734,1.03746,1.03719
11,2024-12-23T12:50:00Z,1.03736,1.037,1.03737,1.03686
12,2024-12-23T12:51:00Z,1.03701,1.03673,1.03715,1.03673
13,2024-12-23T12:52:00Z,1.03674,1.03667,1.03688,1.03653
14,2024-12-23T12:53:00Z,1.03667,1.03718,1.03718,1.03663
15,2024-12-23T12:54:00Z,1.03725,1.0374,1.03752,1.03713
16,2024-12-23T12:55:00Z,1.03739,1.03714,1.03758,1.03702
17,2024-12-23T12:56:00Z,1.03713,1.03722,1.03729,1.03703
18,2024-12-23T12:57:00Z,1.03721,1.03789,1.038,1.03717
19,2024-12-23T12:58:00Z,1.03789,1.03798,1.03804,1.03767
20,2024-12-23T12:59:00Z,1.038,1.03791,1.0381,1.03789
21,2024-12-23T13:00:00Z,1.03791,1.0377,1.03801,1.03768
22,2024-12-23T13:01:00Z,1.0377,1.03832,1.03832,1.03767
23,2024-12-23T13:02:00Z,1.03832,1.0385,1.03851,1.03815
24,2024-12-23T13:03:00Z,1.03849,1.0384,1.03882,1.03839
25,2024-12-23T13:04:00Z,1.03841,1.03833,1.03858,1.0383
26,2024-12-23T13:05:00Z,1.03831,1.03814,1.03844,1.03812
27,2024-12-23T13:06:00Z,1.03813,1.03863,1.03864,1.03813
28,2024-12-23T13:07:00Z,1.03863,1.03845,1.03884,1.03838
29,2024-12-23T13:08:00Z,1.03845,1.03822,1.03848,1.03809
30,2024-12-23T13:09:00Z,1.03822,1.03825,1.03826,1.03793
31,2024-12-23T13:10:00Z,1.03825,1.03792,1.03829,1.03789
32,2024-12-23T13:11:00Z,1.03792,1.03772,1.03792,1.03766
33,2024-12-23T13:12:00Z,1.0377,1.0378,1.0378,1.03755
34,2024-12-23T13:13:00Z,1.03785,1.03822,1.03857,1.03782
35,2024-12-23T13:14:00Z,1.0382,1.03805,1.0382,1.0379
36,2024-12-23T13:15:00Z,1.03808,1.0379,1.03817,1.03773
37,2024-12-23T13:16:00Z,1.03799,1.03767,1.03799,1.03757
38,2024-12-23T13:17:00Z,1.0377,1.03774,1.0379,1.03767
39,2024-12-23T13:18:00Z,1.03772,1.03796,1.03796,1.03748
40,2024-12-23T13:19:00Z,1.03795,1.03816,1.03823,1.03795
41,2024-12-23T13:20:00Z,1.03819,1.03869,1.03871,1.038
42,2024-12-23T13:21:00Z,1.0387,1.0383,1.03876,1.03829
43,2024-12-23T13:22:00Z,1.03831,1.03837,1.03856,1.03821
44,2024-12-23T13:23:00Z,1.03835,1.0382,1.03852,1.03815
45,2024-12-23T13:24:00Z,1.03819,1.03836,1.03842,1.03815
46,2024-12-23T13:25:00Z,1.03836,1.03836,1.03865,1.03831
47,2024-12-23T13:26:00Z,1.03837,1.03819,1.03842,1.0381
48,2024-12-23T13:27:00Z,1.03821,1.03823,1.03825,1.03798
49,2024-12-23T13:28:00Z,1.03823,1.03839,1.03842,1.03819
50,2024-12-23T13:29:00Z,1.03839,1.03829,1.03847,1.0382
51,2024-12-23T13:30:00Z,1.03829,1.03838,1.03845,1.03818
52,2024-12-23T13:31:00Z,1.03838,1.03864,1.03865,1.03833
53,2024-12-23T13:32:00Z,1.03864,1.03865,1.03879,1.03852
54,2024-12-23T13:33:00Z,1.03867,1.03882,1.03892,1.03857
55,2024-12-23T13:34:00Z,1.03882,1.039,1.03908,1.03878
56,2024-12-23T13:35:00Z,1.039,1.03902,1.03913,1.03891
57,2024-12-23T13:36:00Z,1.03902,1.03887,1.03912,1.03885
58,2024-12-23T13:37:00Z,1.03888,1.03924,1.03924,1.03881
59,2024-12-23T13:38:00Z,1.03925,1.03958,1.03959,1.03925
60,2024-12-23T13:39:00Z,1.03956,1.03942,1.03961,1.03935
61,2024-12-23T13:40:00Z,1.03942,1.0394,1.03945,1.03909
62,2024-12-23T13:41:00Z,1.03945,1.03933,1.03956,1.03933
63,2024-12-23T13:42:00Z,1.03935,1.0393,1.03936,1.03909
64,2024-12-23T13:43:00Z,1.03931,1.03912,1.03946,1.0391
65,2024-12-23T13:44:00Z,1.03913,1.03929,1.03949,1.03913
66,2024-12-23T13:45:00Z,1.0393,1.03941,1.03953,1.03918
67,2024-12-23T13:46:00Z,1.03943,1.03912,1.03945,1.039
68,2024-12-23T13:47:00Z,1.03913,1.03889,1.03915,1.03883
69,2024-12-23T13:48:00Z,1.03887,1.03926,1.03931,1.03887
70,2024-12-23T13:49:00Z,1.03926,1.03949,1.03958,1.03922
71,2024-12-23T13:50:00Z,1.03949,1.03992,1.03993,1.03946
72,2024-12-23T13:51:00Z,1.0399,1.04015,1.04037,1.03987
73,2024-12-23T13:52:00Z,1.04012,1.04018,1.04042,1.04002
74,2024-12-23T13:53:00Z,1.0402,1.04011,1.0406,1.04007
75,2024-12-23T13:54:00Z,1.04012,1.0405,1.04057,1.04012
76,2024-12-23T13:55:00Z,1.04044,1.0402,1.04054,1.04016
77,2024-12-23T13:56:00Z,1.0402,1.04095,1.04097,1.04017
78,2024-12-23T13:57:00Z,1.04095,1.04096,1.04112,1.04082
79,2024-12-23T13:58:00Z,1.04097,1.041,1.04104,1.04084
80,2024-12-23T13:59:00Z,1.04101,1.04084,1.04117,1.04073
81,2024-12-23T14:00:00Z,1.04083,1.04099,1.04103,1.04066
82,2024-12-23T14:01:00Z,1.04096,1.04149,1.04149,1.04094
83,2024-12-23T14:02:00Z,1.0415,1.04143,1.04152,1.04121
84,2024-12-23T14:03:00Z,1.04143,1.04117,1.04147,1.04099
85,2024-12-23T14:04:00Z,1.04116,1.04101,1.0413,1.041
86,2024-12-23T14:05:00Z,1.04103,1.04106,1.04119,1.04098
87,2024-12-23T14:06:00Z,1.04101,1.04085,1.04126,1.04074
88,2024-12-23T14:07:00Z,1.04084,1.04093,1.0411,1.04084
89,2024-12-23T14:08:00Z,1.04091,1.04093,1.04122,1.04081
90,2024-12-23T14:09:00Z,1.04097,1.041,1.041,1.04076
91,2024-12-23T14:10:00Z,1.04095,1.04095,1.04135,1.04094
92,2024-12-23T14:11:00Z,1.04098,1.04098,1.04107,1.04073
93,2024-12-23T14:12:00Z,1.04097,1.04105,1.04109,1.04088
94,2024-12-23T14:13:00Z,1.04098,1.04096,1.04113,1.04081
95,2024-12-23T14:14:00Z,1.04098,1.04099,1.04106,1.04082
96,2024-12-23T14:15:00Z,1.04097,1.04081,1.04111,1.04081
97,2024-12-23T14:16:00Z,1.04081,1.04137,1.0414,1.04081
98,2024-12-23T14:17:00Z,1.04137,1.04123,1.04143,1.04109
99,2024-12-23T14:18:00Z,1.04123,1.04128,1.04133,1.04102
100,2024-12-23T14:19:00Z,1.04128,1.04105,1.04133,1.04105
101,2024-12-23T14:20:00Z,1.04105,1.04113,1.04122,1.04099
102,2024-12-23T14:21:00Z,1.04109,1.04136,1.04153,1.04109
103,2024-12-23T14:22:00Z,1.04134,1.04127,1.04161,1.04121
104,2024-12-23T14:23:00Z,1.04127,1.04113,1.04128,1.04096
105,2024-12-23T14:24:00Z,1.04113,1.04133,1.04149,1.04113
106,2024-12-23T14:25:00Z,1.04133,1.04142,1.04148,1.04129
107,2024-12-23T14:26:00Z,1.04139,1.04142,1.04156,1.0412
108,2024-12-23T14:27:00Z,1.04141,1.04163,1.04172,1.0414
109,2024-12-23T14:28:00Z,1.04167,1.04224,1.04225,1.04163
110,2024-12-23T14:29:00Z,1.04225,1.04185,1.0423,1.04184
111,2024-12-23T14:30:00Z,1.04185,1.04204,1.04226,1.04181
112,2024-12-23T14:31:00Z,1.04207,1.04184,1.04221,1.04182
113,2024-12-23T14:32:00Z,1.04185,1.04241,1.04241,1.04176
114,2024-12-23T14:33:00Z,1.04239,1.04219,1.04267,1.04212
115,2024-12-23T14:34:00Z,1.04216,1.04176,1.04224,1.04176
116,2024-12-23T14:35:00Z,1.04176,1.0418,1.04191,1.04168
117,2024-12-23T14:36:00Z,1.04179,1.04168,1.04187,1.04146
118,2024-12-23T14:37:00Z,1.04168,1.04175,1.04187,1.04158
119,2024-12-23T14:38:00Z,1.04174,1.04164,1.0419,1.0416
120,2024-12-23T14:39:00Z,1.04163,1.04126,1.04171,1.04117
121,2024-12-23T14:40:00Z,1.04124,1.04109,1.04133,1.04105
122,2024-12-23T14:41:00Z,1.04112,1.04082,1.04119,1.0408
123,2024-12-23T14:42:00Z,1.04082,1.04085,1.04088,1.04064
124,2024-12-23T14:43:00Z,1.04085,1.04103,1.04123,1.04085
125,2024-12-23T14:44:00Z,1.04103,1.04103,1.0411,1.04092
126,2024-12-23T14:45:00Z,1.04103,1.04138,1.04145,1.04095
127,2024-12-23T14:46:00Z,1.04138,1.04111,1.0414,1.041
128,2024-12-23T14:47:00Z,1.0411,1.04104,1.04133,1.04089
129,2024-12-23T14:48:00Z,1.04107,1.04093,1.04121,1.04087
130,2024-12-23T14:49:00Z,1.04095,1.04117,1.04118,1.04094
131,2024-12-23T14:50:00Z,1.04117,1.04105,1.04129,1.04103
132,2024-12-23T14:51:00Z,1.04107,1.04097,1.04116,1.04085
133,2024-12-23T14:52:00Z,1.04095,1.04034,1.04096,1.04034
134,2024-12-23T14:53:00Z,1.04034,1.04024,1.04049,1.04022
135,2024-12-23T14:54:00Z,1.04024,1.04007,1.04031,1.03999
136,2024-12-23T14:55:00Z,1.04008,1.04027,1.04027,1.03987
137,2024-12-23T14:56:00Z,1.04029,1.04,1.04045,1.04
138,2024-12-23T14:57:00Z,1.04002,1.03971,1.04014,1.03971
139,2024-12-23T14:58:00Z,1.0397,1.0401,1.0401,1.03968
140,2024-12-23T14:59:00Z,1.04008,1.04021,1.04054,1.04008
141,2024-12-23T15:00:00Z,1.0402,1.04023,1.0403,1.04006
142,2024-12-23T15:01:00Z,1.04023,1.03994,1.04023,1.03969
